ID,ZIP,Latitude,Longitude,City,State,County,Zip,Country,Congressional District
8016,53104,42.553518,-88.028986,Bristol,WI,Kenosha County,53104,US,WI1
8017,46001,40.213154,-85.680698,Alexandria,IN,Madison County,46001,US,IN5
8018,17042,40.331594,-76.397634,Lebanon,PA,Lebanon County,17042,US,PA9
8019,72032,35.065889,-92.362875,Conway,AR,Faulkner County,72032,US,AR2
8020,71635,33.12818,-91.96124,Crossett,AR,Ashley County,71635,US,AR4
8021,43619,41.603711,-83.47049,Northwood,OH,Wood County,43619,US,OH9
8022,63352,39.243096,-91.66077,Laddonia,MO,Audrain County,63352,US,MO6
8023,43212,39.987146,-83.042824,Columbus,OH,Franklin County,43212,US,OH3
8024,23060,37.656174,-77.537787,Glen Allen,VA,Henrico County,23060,US,VA1
8025,39503,30.467067,-89.151485,Gulfport,MS,Harrison County,39503,US,MS4
8026,42445,37.140606,-87.865635,Princeton,KY,Caldwell County,42445,US,KY1
8027,78102,28.488192,-97.730956,Beeville,TX,Bee County,78102,US,TX27
8028,32466,30.383156,-85.51506,Youngstown,FL,Bay County,32466,US,FL2
8029,56540,47.534788,-96.285663,Fertile,MN,Polk County,56540,US,MN7
8030,22578,37.688601,-76.361585,White Stone,VA,Lancaster County,22578,US,VA1
8031,92808,33.856495,-117.74021,Anaheim,CA,Orange County,92808,US,CA40
8032,27603,35.689086,-78.675118,Raleigh,NC,Wake County,27603,US,NC13
8033,73055,34.640543,-97.908875,Marlow,OK,Stephens County,73055,US,OK4
8034,83647,43.156195,-115.720455,Mountain Home,ID,Elmore County,83647,US,ID2
8035,38543,36.364735,-85.189932,Alpine,TN,Overton County,38543,US,TN6
8036,23060,37.656174,-77.537787,Glen Allen,VA,Henrico County,23060,US,VA1
8037,77375,30.094886,-95.585826,Tomball,TX,Harris County,77375,US,TX38
8038,93722,36.799361,-119.874794,Fresno,CA,Fresno County,93722,US,CA21
8039,94804,37.925174,-122.344381,Richmond,CA,Contra Costa County,94804,US,CA8
8040,43407,41.278621,-83.244604,Burgoon,OH,Sandusky County,43407,US,OH9
8041,37209,36.1854,-86.94857,Nashville,TN,Davidson County,37209,US,TN7
8042,78043,27.556989,-99.267161,Laredo,TX,Webb County,78043,US,TX28
8043,11791,40.828288,-73.505922,Syosset,NY,Nassau County,11791,US,NY3
8044,50014,42.046297,-93.694449,Ames,IA,Story County,50014,US,IA4
8045,37022,36.48171,-86.31193,Bethpage,TN,Sumner County,37022,US,TN6
8046,49649,44.577555,-85.530156,Kingsley,MI,Grand Traverse County,49649,US,MI1
8047,98282,48.17399,-122.52821,Camano Island,WA,Island County,98282,US,WA2
8048,71269,32.445645,-91.743314,Rayville,LA,Richland Parish,71269,US,LA5
8049,23060,37.656174,-77.537787,Glen Allen,VA,Henrico County,23060,US,VA1
8050,86401,35.131719,-113.703932,Kingman,AZ,Mohave County,86401,US,AZ9
8051,49445,43.295208,-86.278985,Muskegon,MI,Muskegon County,49445,US,MI2
8052,23851,36.682635,-76.942233,Franklin,VA,Franklin City,23851,US,VA2
